ISIN,0,1
IE00BKWQ0L68,Switzerland,26.63%
IE00BKWQ0L68,France,18.71%
IE00BKWQ0L68,Germany,14.36%
IE00BKWQ0L68,United Kingdom,12.28%
IE00BKWQ0L68,Other,28.02%
DE000A0F5UK5,United Kingdom,30.68%
DE000A0F5UK5,Switzerland,14.75%
DE000A0F5UK5,Sweden,10.26%
DE000A0F5UK5,Finland,8.94%
DE000A0F5UK5,Other,35.37%
LU0292100806,Switzerland,27.91%
LU0292100806,France,24.71%
LU0292100806,Germany,10.28%
LU0292100806,Denmark,5.04%
LU0292100806,Other,32.06%
IE00BKWQ0F09,United Kingdom,52.47%
IE00BKWQ0F09,France,18.47%
IE00BKWQ0F09,Italy,9.35%
IE00BKWQ0F09,Norway,7.67%
IE00BKWQ0F09,Other,12.04%
DE000A0H08M3,United Kingdom,43.18%
DE000A0H08M3,France,16.82%
DE000A0H08M3,Germany,12.57%
DE000A0H08M3,Italy,8.15%
DE000A0H08M3,Other,19.28%
LU1834988278,United Kingdom,30.80%
LU1834988278,Germany,16.19%
LU1834988278,Spain,9.10%
LU1834988278,Denmark,7.39%
LU1834988278,Other,36.52%
DE000A0F5UJ7,United Kingdom,23.19%
DE000A0F5UJ7,Spain,16.43%
DE000A0F5UJ7,Italy,14.34%
DE000A0F5UJ7,France,9.90%
DE000A0F5UJ7,Other,36.14%
LU1829219390,Spain,26.80%
LU1829219390,Italy,23.58%
LU1829219390,France,16.21%
LU1829219390,Germany,9.28%
LU1829219390,Other,24.13%
IE00BKWQ0G16,United Kingdom,21.60%
IE00BKWQ0G16,Germany,14.59%
IE00BKWQ0G16,Switzerland,12.68%
IE00BKWQ0G16,Italy,9.96%
IE00BKWQ0G16,Other,41.17%
DE000A0Q4R36,Switzerland,33.44%
DE000A0Q4R36,United Kingdom,20.79%
DE000A0Q4R36,France,12.01%
DE000A0Q4R36,Germany,6.00%
DE000A0Q4R36,Other,27.76%
IE00BKWQ0H23,Switzerland,35.39%
IE00BKWQ0H23,United Kingdom,21.28%
IE00BKWQ0H23,France,12.26%
IE00BKWQ0H23,Germany,6.27%
IE00BKWQ0H23,Other,24.80%
DE000A0H08F7,France,35.37%
DE000A0H08F7,Switzerland,25.07%
DE000A0H08F7,Sweden,9.62%
DE000A0H08F7,Germany,6.66%
DE000A0H08F7,Other,23.28%
DE000A0H08Q4,Germany,38.13%
DE000A0H08Q4,Netherlands,27.70%
DE000A0H08Q4,United Kingdom,14.55%
DE000A0H08Q4,France,6.74%
DE000A0H08Q4,Other,12.88%
IE00BKWQ0K51,Germany,43.64%
IE00BKWQ0K51,Netherlands,25.11%
IE00BKWQ0K51,France,8.30%
IE00BKWQ0K51,Sweden,7.09%
IE00BKWQ0K51,Other,15.86%
IE00BKWQ0N82,Germany,27.66%
IE00BKWQ0N82,Luxembourg,18.69%
IE00BKWQ0N82,United Kingdom,13.21%
IE00BKWQ0N82,France,11.14%
IE00BKWQ0N82,Other,29.30%
